## 医生信息（格式为:姓名|科室|擅长）
季明华|骨科|擅长脊柱四肢、骨折微创治疗，颈腰椎间盘突出症，椎管狭窄、滑脱手术治疗，髋关节、膝关节病变人工关节置换术等

何发胜|骨科|擅长微创治疗脊柱疾病，人工关节置换，骨质疏松性骨折，关节周围创伤等疾病。

董晖|骨科|擅长1.创伤骨科如骨盆骨折、四肢骨折的微创治疗；2.显微外科如四肢创面修复，骨感染、骨髓炎的治疗； 3.手外科如周围神经损伤、神经卡压、腱鞘炎、手部先天性畸形的诊治。

强波|骨科|擅长儿童运动创伤，儿童四肢先天畸形，儿童骨科疑难杂症的临床诊断和治疗，儿童四肢管状骨骨折的保守治疗；儿童脊柱侧弯、小儿骨折的临床诊断及治疗；老年骨病（骨关节病、骨质疏松症及继发疾病）的临床诊断及治疗；成人四肢畸形的矫正及治疗。

林金矿|骨科|擅长骨与关节损伤、关节疾患、骨质疏松的诊治。髋、膝关节置换手术。

林永祥|骨科|擅长脊柱微创手术：椎体成型，经皮椎引弓根螺钉固定，MED,椎间孔镜下髓核摘除，ULBD减压及镜下融合，UBE,OLIF,MIS -TLIF颈前路内镜辅助下ACDF，颈椎keyhlie等。

卢海燕|骨科|擅长1.微创椎间孔镜下治疗腰椎间盘突出症、颈胸腰椎管狭窄、椎间不稳融合术、颈椎间盘突出、腰椎滑脱；2.各类关节镜及置换固定治疗术，包括膝关节镜下前后交叉韧带重建、半月板损伤缝合，肩关节镜下肩袖损伤、Bankark损伤修复、肩关节复发性脱位修复；3.跟腱断裂、胸腰椎骨折（四肢骨折、脊柱骨折）微创术等创伤骨科治疗。

姚一|癫痫中心|擅长儿童和成人难治性癫痫诊疗与手术，儿童与成人脑病灶（胶质瘤、脑血管畸形、海绵状血管瘤）合并癫痫的手术，专注于癫痫的临床诊疗和基础研究。擅长极低龄儿童灾难性癫痫的抢救性治疗。

张小斌|癫痫中心|擅长癫痫、长程录像脑电图、帕金森病及其他运动障碍疾病的外科治疗及立体定向微创手术。

王逢鹏|癫痫中心|擅长1.儿童、成人癫痫诊治，癫痫外科治疗；2.颅神经疾病（三叉神经痛、面肌痉挛等）外科治疗；3.脑功能区肿瘤手术治疗、运动障碍疾病外科治疗。4.电刺激脑功能区定位、丙泊酚Wada试验、颅内电极脑电图分析、影像后处理等。

张荣春|消化内科|擅长消化系统疾病综合诊疗，擅长消化道肿瘤，胆、胰疾病的诊疗及内镜下治疗。

